Localitate,Latitudine,Longitudine,Indice
Tribunalul SĂLAJ,47.18653,23.059427,-1.171156208
Tribunalul BISTRIŢA NĂSĂUD,47.125842,24.492459,-1.00182518
Tribunalul BIHOR,47.058153,21.935777,-0.84630515
Tribunalul VÂLCEA,45.104891,24.363079,-0.773446247
Tribunalul ILFOV,44.55899,25.947747,-0.763660345
Tribunalul SATU MARE,47.794811,22.877775,-0.615774313
Tribunalul TULCEA,45.174274,28.805835,-0.569237425
Tribunalul BACAU,46.568287,26.90594,-0.47539819
Tribunalul SIBIU,45.789591,24.144433,-0.445464658
Tribunalul GIURGIU,43.889344,25.966445,-0.423857493
Tribunalul BOTOŞANI,47.742092,26.656194,-0.413718768
Tribunalul BRĂILA,45.244914,27.947654,-0.368165219
Tribunalul CLUJ,46.770964,23.598725,-0.340558109
Tribunalul MARAMUREŞ,47.647222,23.580909,-0.330188955
Tribunalul TIMIŞ,45.757277,21.231899,-0.307195117
Tribunalul HUNEDOARA,45.884894,22.898707,-0.303504822
Tribunalul CARAŞ SEVERIN,45.291061,21.888048,-0.260079662
Tribunalul Comercial ARGEŞ,44.854893,24.879262,-0.214501298
Tribunalul BRAŞOV,45.649767,25.606471,-0.144501275
Tribunalul ARGES,44.851298,24.867071,-0.10747247
Tribunalul NEAMŢ,46.925954,26.365902,-0.098464324
Tribunalul Comercial MUREŞ,46.541898,24.564591,-0.076984687
Tribunalul BUCUREŞTI,44.427192,26.11033,-0.049355759
Tribunalul TELEORMAN,43.967141,25.330481,-0.04070284
Tribunalul COVASNA,45.862494,25.786969,-0.012107677
Tribunalul IAŞI,47.15967,27.588181,0.080861239
Tribunalul GALAŢI,45.427608,28.026668,0.170289546
Tribunalul BUZĂU,45.15338,26.819015,0.19110328
Tribunalul GORJ,45.040647,23.273569,0.206481215
Tribunalul ALBA,46.071025,23.580981,0.224334959
Tribunalul MEHEDINŢI,44.624728,22.66294,0.248331238
Tribunalul VRANCEA,45.698713,27.187602,0.270539988
Tribunalul HARGHITA,46.359407,25.802835,0.316811404
Tribunalul DÂMBOVIŢA,44.92073,25.476481,0.344691441
Tribunalul VASLUI,46.631612,27.730627,0.382025181
Tribunalul DOLJ,44.321771,23.788501,0.412003052
Tribunalul CONSTANŢA,44.174757,28.647158,0.457184341
Tribunalul Comercial CLUJ,46.770975,23.598704,0.481636484
Tribunalul IALOMIŢA,44.564182,27.364046,0.51924288
Tribunalul MUREŞ,46.541905,24.564559,0.599966036
Tribunalul CĂLĂRAŞI,44.193632,27.328409,0.677576907
Tribunalul SUCEAVA,47.646507,26.250361,0.732556206
Tribunalul ARAD,46.177097,21.321424,0.748563975
Tribunalul PRAHOVA,44.946451,26.019137,0.818869697
Tribunalul OLT,44.424199,24.370975,0.925553659
Tribunalul pentru minori si familie BRAŞOV,45.653618,25.608737,1.345003464
